fte_id,available_start_week_iso,available_end_week_iso
micky,2025-W02,2026-W47
mus,2025-W32,2026-W47
out_1,2025-W02,2026-W47
out_2,2025-W02,2026-W47
jose,2025-W02,2026-W47





